,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
144,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,Data Analyst
145,2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,Data Engineer
146,2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,Data Engineer
147,2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,Data Engineer
148,2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,Data Engineer
149,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,Data Scientist
150,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Data Scientist
151,2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,Data Engineer
152,2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,Data Engineer
153,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Data Engineer
154,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Data Engineer
155,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,Data Analyst
159,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
160,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineer
161,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,Data Analyst
162,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,Data Analyst
163,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,Data Scientist
164,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,Data Scientist
165,2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,Data Engineer
166,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,Data Engineer
167,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,Data Engineer
168,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Data Engineer
169,2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,Data Engineer
170,2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,Data Engineer
171,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
172,2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,Data Engineer
173,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Data Scientist
174,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
177,2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,Data Engineer
178,2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,Data Engineer
179,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,Data Engineer
180,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,Data Engineer
186,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,Data Analyst
187,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,Data Analyst
188,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,Data Engineer
189,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Data Engineer
190,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,Data Engineer
191,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,Data Engineer
192,2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,Data Scientist
193,2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,Data Scientist
194,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,Data Scientist
195,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Data Scientist
196,2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,Data Engineer
197,2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,Data Engineer
198,2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,Data Engineer
199,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Data Engineer
200,2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,Data Engineer
201,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,Data Engineer
203,2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,Data Engineer
204,2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,Data Engineer
205,2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,Data Engineer
206,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Data Engineer
207,2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,Data Engineer
208,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,Data Engineer
209,2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,Data Engineer
210,2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,Data Engineer
211,2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,Data Engineer
212,2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,Data Engineer
215,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,Data Analyst
216,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,Data Analyst
220,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,Data Analyst
221,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,Data Analyst
222,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,Data Engineer
223,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Data Engineer
224,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
225,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineer
226,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,Data Engineer
227,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Data Engineer
228,2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,Other
229,2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,Other
230,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,Data Analyst
231,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,Data Analyst
232,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,Data Scientist
233,2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,Data Scientist
234,2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,Other
235,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
236,2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,Data Engineer
237,2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
238,2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineer
239,2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,Data Scientist
240,2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,Data Scientist
241,2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,Data Scientist
242,2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,Data Scientist
243,2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,Data Scientist
244,2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,Data Scientist
245,2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,Data Scientist
246,2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,Data Scientist
247,2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,Data Engineer
248,2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,Data Engineer
250,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Data Engineer
251,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Data Engineer
252,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,Data Analyst
253,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,Data Analyst
254,2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,Data Engineer
255,2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,Data Engineer
256,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,Data Analyst
257,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,Data Analyst
258,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,Data Engineer
259,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,Data Engineer
260,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Data Scientist
261,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,Data Scientist
262,2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M,Data Analyst
263,2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M,Data Analyst
266,2023,SE,FT,Data Engineer,240500,USD,240500,US,0,US,L,Data Engineer
267,2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L,Data Engineer
268,2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M,Data Engineer
269,2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M,Data Engineer
270,2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M,Data Engineer
271,2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M,Data Engineer
272,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,Data Scientist
273,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
274,2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M,Data Engineer
275,2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M,Data Engineer
276,2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,Data Scientist
277,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
278,2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M,Data Scientist
279,2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M,Data Scientist
280,2023,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M,Data Scientist
281,2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M,Data Scientist
282,2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M,Data Analyst
283,2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M,Data Analyst
284,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,Data Scientist
285,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Data Scientist
286,2023,SE,FT,Data Engineer,219535,USD,219535,US,100,US,M,Data Engineer
287,2023,SE,FT,Data Engineer,146115,USD,146115,US,100,US,M,Data Engineer
288,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Data Scientist
289,2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M,Data Scientist
290,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Data Scientist
291,2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,Data Scientist
292,2023,SE,FT,Data Scientist,199000,USD,199000,US,0,US,M,Data Scientist
293,2023,SE,FT,Data Scientist,162000,USD,162000,US,0,US,M,Data Scientist
294,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Data Scientist
295,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
296,2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100,US,M,Data Engineer
297,2023,EX,FT,Analytics Engineer,153000,USD,153000,US,100,US,M,Data Engineer
298,2023,SE,FT,Data Analyst,187000,USD,187000,US,0,US,M,Data Analyst
299,2023,SE,FT,Data Analyst,128000,USD,128000,US,0,US,M,Data Analyst
300,2023,SE,FT,Research Scientist,210000,USD,210000,US,0,US,M,Data Scientist
301,2023,SE,FT,Research Scientist,136000,USD,136000,US,0,US,M,Data Scientist
302,2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,Data Scientist
303,2023,SE,FT,Data Scientist,100000,USD,100000,US,100,US,M,Data Scientist
304,2023,SE,FT,Data Engineer,179000,USD,179000,US,0,US,M,Data Engineer
305,2023,SE,FT,Data Engineer,109000,USD,109000,US,0,US,M,Data Engineer
306,2023,SE,FT,Data Scientist,245000,USD,245000,US,0,US,M,Data Scientist
307,2023,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M,Data Scientist
308,2023,SE,FT,Data Analyst,142000,USD,142000,US,100,US,M,Data Analyst
309,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,Data Analyst
310,2023,SE,FT,Data Manager,198800,USD,198800,US,0,US,M,Data Scientist
311,2023,SE,FT,Data Manager,105200,USD,105200,US,0,US,M,Data Scientist
312,2023,SE,FT,Data Analyst,125000,USD,125000,US,100,US,M,Data Analyst
313,2023,SE,FT,Data Analyst,112000,USD,112000,US,100,US,M,Data Analyst
314,2023,SE,FT,Data Scientist,210000,USD,210000,US,0,US,M,Data Scientist
315,2023,SE,FT,Data Scientist,155000,USD,155000,US,0,US,M,Data Scientist
316,2023,SE,FT,Data Manager,115000,USD,115000,US,100,US,M,Data Scientist
317,2023,SE,FT,Data Manager,86000,USD,86000,US,100,US,M,Data Scientist
318,2023,SE,FT,Data Scientist,165000,USD,165000,US,0,US,M,Data Scientist
319,2023,SE,FT,Data Scientist,140000,USD,140000,US,0,US,M,Data Scientist
320,2023,SE,FT,Data Analyst,139000,USD,139000,US,0,US,M,Data Analyst
321,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M,Data Analyst
325,2023,MI,FT,Machine Learning Engineer,280700,USD,280700,US,100,US,M,Data Engineer
326,2023,MI,FT,Machine Learning Engineer,150450,USD,150450,US,100,US,M,Data Engineer
328,2023,SE,FT,Data Architect,250500,USD,250500,US,0,US,M,Data Engineer
329,2023,SE,FT,Data Architect,159500,USD,159500,US,0,US,M,Data Engineer
330,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,Data Engineer
331,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineer
332,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,Data Analyst
333,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,Data Analyst
334,2023,EN,FT,Data Scientist,130001,USD,130001,US,100,US,M,Data Scientist
335,2023,EN,FT,Data Scientist,71907,USD,71907,US,100,US,M,Data Scientist
336,2023,MI,FT,Data Scientist,93918,USD,93918,US,100,US,M,Data Scientist
337,2023,MI,FT,Data Scientist,51962,USD,51962,US,100,US,M,Data Scientist
340,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Data Engineer
341,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Data Engineer
342,2023,SE,FT,Machine Learning Engineer,257000,USD,257000,US,0,US,M,Data Engineer
343,2023,SE,FT,Machine Learning Engineer,147000,USD,147000,US,0,US,M,Data Engineer
344,2023,SE,FT,Data Engineer,222000,USD,222000,US,100,US,M,Data Engineer
345,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,Data Engineer
346,2023,SE,FT,Data Scientist,203000,USD,203000,US,100,US,M,Data Scientist
347,2023,SE,FT,Data Scientist,133200,USD,133200,US,100,US,M,Data Scientist
348,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,Data Scientist
349,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,Data Scientist
350,2023,SE,FT,Data Engineer,221000,USD,221000,US,0,US,M,Data Engineer
351,2023,SE,FT,Data Engineer,147000,USD,147000,US,0,US,M,Data Engineer
352,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,Data Analyst
353,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,Data Analyst
354,2023,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M,Data Scientist
355,2023,SE,FT,Data Scientist,129300,USD,129300,US,0,US,M,Data Scientist
356,2023,SE,FT,Data Scientist,238000,USD,238000,US,100,US,M,Data Scientist
357,2023,SE,FT,Data Scientist,156000,USD,156000,US,100,US,M,Data Scientist
358,2023,SE,FT,Machine Learning Engineer,304000,USD,304000,US,100,US,M,Data Engineer
359,2023,SE,FT,Machine Learning Engineer,199000,USD,199000,US,100,US,M,Data Engineer
361,2023,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M,Data Engineer
362,2023,SE,FT,Data Engineer,130000,USD,130000,US,0,US,M,Data Engineer
363,2023,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Scientist
364,2023,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M,Data Scientist
365,2023,MI,FT,Data Analyst,90000,USD,90000,US,0,US,M,Data Analyst
366,2023,MI,FT,Data Analyst,75000,USD,75000,US,0,US,M,Data Analyst
369,2023,SE,FT,Data Engineer,240000,USD,240000,US,0,US,M,Data Engineer
370,2023,SE,FT,Data Engineer,183600,USD,183600,US,0,US,M,Data Engineer
371,2023,MI,FT,Data Specialist,130000,USD,130000,US,0,US,M,Other
372,2023,MI,FT,Data Specialist,80000,USD,80000,US,0,US,M,Other
373,2023,SE,FT,Data Engineer,250000,USD,250000,US,0,US,M,Data Engineer
374,2023,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M,Data Engineer
